time_to_depletion,total_nectar_collected,time_to_first_nectar,success,idle_prob,follow_prob,rep,perc_scouts,sense_range,kappa_0,alpha,beta,w_dir
,48,,False,0.375,,3,,0.8,,,,
,53,,False,0.375,,4,,0.8,,,,
,42,,False,0.375,,1,,1.0,,,,
,42,,False,0.375,,0,,1.0,,,,
,34,,False,0.375,,2,,1.0,,,,
,49,,False,0.375,,3,,1.0,,,,
,49,,False,0.375,,4,,1.0,,,,
,44,,False,0.5,,0,,0.2,,,,
,48,,False,0.5,,1,,0.2,,,,
,43,,False,0.5,,2,,0.2,,,,
,46,,False,0.5,,3,,0.2,,,,
,37,,False,0.5,,4,,0.2,,,,
,48,,False,0.5,,0,,0.4,,,,
,48,,False,0.5,,1,,0.4,,,,
,45,,False,0.5,,2,,0.4,,,,
,49,,False,0.5,,3,,0.4,,,,
,54,,False,0.5,,4,,0.4,,,,
,45,,False,0.5,,1,,0.6000000000000001,,,,
,40,,False,0.5,,0,,0.6000000000000001,,,,
,46,,False,0.5,,2,,0.6000000000000001,,,,
,38,,False,0.5,,3,,0.6000000000000001,,,,
,52,,False,0.5,,0,,0.8,,,,
,45,,False,0.5,,1,,0.8,,,,
,51,,False,0.5,,2,,0.8,,,,
,54,,False,0.5,,3,,0.8,,,,
,45,,False,0.5,,4,,0.6000000000000001,,,,
,42,,False,0.5,,4,,0.8,,,,
,52,,False,0.5,,0,,1.0,,,,
,46,,False,0.5,,1,,1.0,,,,
,41,,False,0.5,,2,,1.0,,,,
,46,,False,0.5,,3,,1.0,,,,
,55,,False,0.5,,4,,1.0,,,,
,47,,False,0.0,,0,,,1.0,,,
,35,,False,0.0,,1,,,1.0,,,
,41,,False,0.0,,2,,,1.0,,,
,42,,False,0.0,,3,,,1.0,,,
,42,,False,0.0,,4,,,1.0,,,
,53,,False,0.0,,0,,,5.0,,,
,43,,False,0.0,,1,,,5.0,,,
,47,,False,0.0,,2,,,5.0,,,
,39,,False,0.0,,3,,,5.0,,,
,41,,False,0.0,,4,,,5.0,,,
,39,,False,0.0,,0,,,10.0,,,
,43,,False,0.0,,1,,,10.0,,,
,50,,False,0.0,,2,,,10.0,,,
,39,,False,0.0,,3,,,10.0,,,
,48,,False,0.0,,0,,,20.0,,,
,44,,False,0.0,,4,,,10.0,,,
,44,,False,0.0,,2,,,20.0,,,
,52,,False,0.0,,1,,,20.0,,,
,48,,False,0.0,,3,,,20.0,,,
,46,,False,0.0,,4,,,20.0,,,
,46,,False,0.0,,1,,,50.0,,,
,43,,False,0.0,,0,,,50.0,,,
,52,,False,0.0,,2,,,50.0,,,
,51,,False,0.0,,3,,,50.0,,,
,43,,False,0.125,,0,,,1.0,,,
,46,,False,0.0,,4,,,50.0,,,
,38,,False,0.125,,1,,,1.0,,,
,53,,False,0.125,,2,,,1.0,,,
,48,,False,0.125,,4,,,1.0,,,
,37,,False,0.125,,0,,,5.0,,,
,50,,False,0.125,,1,,,5.0,,,
,54,,False,0.125,,2,,,5.0,,,
,53,,False,0.125,,3,,,1.0,,,
,55,,False,0.125,,3,,,5.0,,,
,49,,False,0.125,,4,,,5.0,,,
,49,,False,0.125,,1,,,10.0,,,
,37,,False,0.125,,2,,,10.0,,,
,49,,False,0.125,,0,,,10.0,,,
,45,,False,0.125,,3,,,10.0,,,
,40,,False,0.125,,0,,,20.0,,,
,46,,False,0.125,,1,,,20.0,,,
,47,,False,0.125,,3,,,20.0,,,
,45,,False,0.125,,2,,,20.0,,,
,44,,False,0.125,,4,,,20.0,,,
,42,,False,0.125,,0,,,50.0,,,
,41,,False,0.125,,1,,,50.0,,,
,49,,False,0.125,,3,,,50.0,,,
